"chrom","bin_start","bin_end","genomic_bin","insertion_type","repeat_family","n_insertions"
"chr1",5e+06,9999999,"chr1:5e+06-9999999","solo","L1",2
"chr1",6e+07,64999999,"chr1:6e+07-64999999","solo","L1",2
"chr1",6.5e+07,69999999,"chr1:6.5e+07-69999999","solo","L1",2
"chr1",7e+07,74999999,"chr1:7e+07-74999999","solo","L1",4
"chr1",9.5e+07,99999999,"chr1:9.5e+07-99999999","solo","L1",3
"chr1",1e+08,104999999,"chr1:1e+08-104999999","solo","L1",2
"chr1",1.4e+08,144999999,"chr1:1.4e+08-144999999","solo","L1",2
"chr1",1.7e+08,174999999,"chr1:1.7e+08-174999999","solo","L1",3
"chr1",1.75e+08,179999999,"chr1:1.75e+08-179999999","solo","L1",3
"chr1",1.9e+08,194999999,"chr1:1.9e+08-194999999","solo","L1",4
"chr1",1.95e+08,199999999,"chr1:1.95e+08-199999999","solo","L1",3
"chr1",2.35e+08,239999999,"chr1:2.35e+08-239999999","solo","L1",2
"chr1",2.4e+08,244999999,"chr1:2.4e+08-244999999","solo","L1",2
"chr1",2.45e+08,249999999,"chr1:2.45e+08-249999999","solo","L1",2
"chr10",0,4999999,"chr10:0-4999999","solo","L1",2
"chr10",7.5e+07,79999999,"chr10:7.5e+07-79999999","solo","L1",3
"chr10",8.5e+07,89999999,"chr10:8.5e+07-89999999","solo","L1",3
"chr10",1.05e+08,109999999,"chr10:1.05e+08-109999999","solo","L1",3
"chr10",1.1e+08,114999999,"chr10:1.1e+08-114999999","solo","L1",3
"chr11",1.5e+07,19999999,"chr11:1.5e+07-19999999","solo","L1",2
"chr11",4e+07,44999999,"chr11:4e+07-44999999","solo","L1",2
"chr11",5.5e+07,59999999,"chr11:5.5e+07-59999999","solo","L1",3
"chr11",9e+07,94999999,"chr11:9e+07-94999999","solo","L1",2
"chr11",9.5e+07,99999999,"chr11:9.5e+07-99999999","solo","L1",2
"chr11",1e+08,104999999,"chr11:1e+08-104999999","solo","L1",2
"chr11",1.05e+08,109999999,"chr11:1.05e+08-109999999","solo","L1",3
"chr11",1.15e+08,119999999,"chr11:1.15e+08-119999999","solo","L1",3
"chr11",1.3e+08,134999999,"chr11:1.3e+08-134999999","solo","L1",2
"chr12",1.5e+07,19999999,"chr12:1.5e+07-19999999","solo","L1",2
"chr12",2e+07,24999999,"chr12:2e+07-24999999","solo","L1",2
"chr12",2.5e+07,29999999,"chr12:2.5e+07-29999999","solo","L1",2
"chr12",3e+07,34999999,"chr12:3e+07-34999999","solo","L1",3
"chr12",7.5e+07,79999999,"chr12:7.5e+07-79999999","partnered","L1",2
"chr12",7.5e+07,79999999,"chr12:7.5e+07-79999999","solo","L1",2
"chr12",9e+07,94999999,"chr12:9e+07-94999999","solo","L1",2
"chr12",9.5e+07,99999999,"chr12:9.5e+07-99999999","solo","L1",2
"chr12",1.25e+08,129999999,"chr12:1.25e+08-129999999","solo","L1",2
"chr13",3.5e+07,39999999,"chr13:3.5e+07-39999999","solo","L1",2
"chr13",7e+07,74999999,"chr13:7e+07-74999999","solo","L1",2
"chr13",8e+07,84999999,"chr13:8e+07-84999999","solo","L1",2
"chr13",9e+07,94999999,"chr13:9e+07-94999999","partnered","L1",2
"chr13",1.05e+08,109999999,"chr13:1.05e+08-109999999","solo","L1",2
"chr14",3e+07,34999999,"chr14:3e+07-34999999","solo","L1",4
"chr14",8e+07,84999999,"chr14:8e+07-84999999","solo","L1",2
"chr14",8.5e+07,89999999,"chr14:8.5e+07-89999999","solo","L1",4
"chr14",9.5e+07,99999999,"chr14:9.5e+07-99999999","solo","L1",2
"chr16",5e+07,54999999,"chr16:5e+07-54999999","solo","L1",2
"chr16",5.5e+07,59999999,"chr16:5.5e+07-59999999","solo","L1",2
"chr16",6e+07,64999999,"chr16:6e+07-64999999","solo","L1",3
"chr18",2.5e+07,29999999,"chr18:2.5e+07-29999999","solo","L1",2
"chr18",3.5e+07,39999999,"chr18:3.5e+07-39999999","solo","L1",2
"chr18",4e+07,44999999,"chr18:4e+07-44999999","solo","L1",2
"chr19",5e+06,9999999,"chr19:5e+06-9999999","solo","L1",2
"chr19",3e+07,34999999,"chr19:3e+07-34999999","solo","L1",2
"chr2",3e+07,34999999,"chr2:3e+07-34999999","solo","L1",2
"chr2",5.5e+07,59999999,"chr2:5.5e+07-59999999","partnered","L1",2
"chr2",1.05e+08,109999999,"chr2:1.05e+08-109999999","solo","L1",2
"chr2",1.35e+08,139999999,"chr2:1.35e+08-139999999","solo","L1",2
"chr2",1.85e+08,189999999,"chr2:1.85e+08-189999999","solo","L1",5
"chr2",1.95e+08,199999999,"chr2:1.95e+08-199999999","partnered","L1",2
"chr20",2.5e+07,29999999,"chr20:2.5e+07-29999999","solo","L1",2
"chr20",4e+07,44999999,"chr20:4e+07-44999999","solo","L1",2
"chr20",5e+07,54999999,"chr20:5e+07-54999999","solo","L1",2
"chr20",6e+07,64999999,"chr20:6e+07-64999999","solo","L1",4
"chr22",3.5e+07,39999999,"chr22:3.5e+07-39999999","solo","L1",2
"chr3",2e+07,24999999,"chr3:2e+07-24999999","solo","L1",2
"chr3",3.5e+07,39999999,"chr3:3.5e+07-39999999","solo","L1",3
"chr3",9.5e+07,99999999,"chr3:9.5e+07-99999999","solo","L1",3
"chr3",1e+08,104999999,"chr3:1e+08-104999999","solo","L1",2
"chr3",1.45e+08,149999999,"chr3:1.45e+08-149999999","solo","L1",3
"chr3",1.9e+08,194999999,"chr3:1.9e+08-194999999","solo","L1",2
"chr4",1e+07,14999999,"chr4:1e+07-14999999","solo","L1",2
"chr4",2e+07,24999999,"chr4:2e+07-24999999","solo","L1",3
"chr4",3.5e+07,39999999,"chr4:3.5e+07-39999999","solo","L1",2
"chr4",4e+07,44999999,"chr4:4e+07-44999999","solo","L1",2
"chr4",6e+07,64999999,"chr4:6e+07-64999999","partnered","L1",2
"chr4",6e+07,64999999,"chr4:6e+07-64999999","solo","L1",4
"chr4",7e+07,74999999,"chr4:7e+07-74999999","solo","L1",4
"chr4",9.5e+07,99999999,"chr4:9.5e+07-99999999","solo","L1",2
"chr4",1.1e+08,114999999,"chr4:1.1e+08-114999999","solo","L1",2
"chr4",1.15e+08,119999999,"chr4:1.15e+08-119999999","solo","L1",2
"chr4",1.25e+08,129999999,"chr4:1.25e+08-129999999","solo","L1",3
"chr4",1.3e+08,134999999,"chr4:1.3e+08-134999999","partnered","L1",2
"chr4",1.3e+08,134999999,"chr4:1.3e+08-134999999","solo","L1",3
"chr4",1.35e+08,139999999,"chr4:1.35e+08-139999999","solo","L1",2
"chr4",1.7e+08,174999999,"chr4:1.7e+08-174999999","solo","L1",4
"chr4",1.75e+08,179999999,"chr4:1.75e+08-179999999","solo","L1",3
"chr5",5e+06,9999999,"chr5:5e+06-9999999","solo","L1",5
"chr5",1.5e+07,19999999,"chr5:1.5e+07-19999999","solo","L1",2
"chr5",2e+07,24999999,"chr5:2e+07-24999999","solo","L1",3
"chr5",3.5e+07,39999999,"chr5:3.5e+07-39999999","solo","L1",2
"chr5",4e+07,44999999,"chr5:4e+07-44999999","solo","L1",2
"chr5",5e+07,54999999,"chr5:5e+07-54999999","solo","L1",2
"chr5",7.5e+07,79999999,"chr5:7.5e+07-79999999","solo","L1",2
"chr5",9.5e+07,99999999,"chr5:9.5e+07-99999999","solo","L1",2
"chr5",1e+08,104999999,"chr5:1e+08-104999999","solo","L1",4
"chr5",1.05e+08,109999999,"chr5:1.05e+08-109999999","solo","L1",3
"chr5",1.1e+08,114999999,"chr5:1.1e+08-114999999","partnered","L1",2
"chr5",1.15e+08,119999999,"chr5:1.15e+08-119999999","solo","L1",3
"chr6",2e+07,24999999,"chr6:2e+07-24999999","solo","L1",2
"chr6",5e+07,54999999,"chr6:5e+07-54999999","solo","L1",4
"chr6",6.5e+07,69999999,"chr6:6.5e+07-69999999","solo","L1",2
"chr6",7e+07,74999999,"chr6:7e+07-74999999","solo","L1",2
"chr6",7.5e+07,79999999,"chr6:7.5e+07-79999999","solo","L1",2
"chr6",9.5e+07,99999999,"chr6:9.5e+07-99999999","solo","L1",2
"chr7",1.5e+07,19999999,"chr7:1.5e+07-19999999","solo","L1",2
"chr7",2e+07,24999999,"chr7:2e+07-24999999","solo","L1",3
"chr7",8.5e+07,89999999,"chr7:8.5e+07-89999999","solo","L1",2
"chr7",9e+07,94999999,"chr7:9e+07-94999999","solo","L1",2
"chr7",1.05e+08,109999999,"chr7:1.05e+08-109999999","solo","L1",4
"chr7",1.15e+08,119999999,"chr7:1.15e+08-119999999","solo","L1",4
"chr7",1.2e+08,124999999,"chr7:1.2e+08-124999999","solo","L1",2
"chr8",2e+07,24999999,"chr8:2e+07-24999999","solo","L1",2
"chr8",5.5e+07,59999999,"chr8:5.5e+07-59999999","solo","L1",2
"chr8",8.5e+07,89999999,"chr8:8.5e+07-89999999","solo","L1",2
"chr8",9e+07,94999999,"chr8:9e+07-94999999","solo","L1",2
"chr8",9.5e+07,99999999,"chr8:9.5e+07-99999999","solo","L1",3
"chr8",1e+08,104999999,"chr8:1e+08-104999999","solo","L1",2
"chr9",8e+07,84999999,"chr9:8e+07-84999999","solo","L1",2
"chrX",2e+07,24999999,"chrX:2e+07-24999999","solo","L1",8
"chrX",2.5e+07,29999999,"chrX:2.5e+07-29999999","solo","L1",3
"chrX",4.5e+07,49999999,"chrX:4.5e+07-49999999","solo","L1",2
"chrX",1.25e+08,129999999,"chrX:1.25e+08-129999999","solo","L1",2
